album,track_title,lyric,year
Taylor Swift,Tim McGraw,He said the way my blue eyes shined,2006
Taylor Swift,Tim McGraw,Put those Georgia stars to shame that night,2006
Taylor Swift,Tim McGraw,"I said, ""That's a lie""",2006
Taylor Swift,Tim McGraw,Just a boy in a Chevy truck,2006
Taylor Swift,Tim McGraw,That had a tendency of gettin' stuck,2006
Taylor Swift,Tim McGraw,On backroads at night,2006
Taylor Swift,Tim McGraw,And I was right there beside him all summer long,2006
Taylor Swift,Tim McGraw,And then the time we woke up to find that summer gone,2006
Taylor Swift,Tim McGraw,But when you think Tim McGraw,2006
Taylor Swift,Tim McGraw,I hope you think my favorite song,2006
Taylor Swift,Tim McGraw,The one we danced to all night long,2006
Taylor Swift,Tim McGraw,The moon like a spotlight on the lake,2006
Taylor Swift,Tim McGraw,When you think happiness,2006
Taylor Swift,Tim McGraw,I hope you think that little black dress,2006
Taylor Swift,Tim McGraw,Think of my head on your chest,2006
Taylor Swift,Tim McGraw,And my old faded blue jeans,2006
Taylor Swift,Tim McGraw,When you think Tim McGraw,2006
Taylor Swift,Tim McGraw,I hope you think of me,2006
Taylor Swift,Tim McGraw,September saw a month of tears,2006
Taylor Swift,Tim McGraw,And thankin' God that you weren't here,2006
Taylor Swift,Tim McGraw,To see me like that,2006
Taylor Swift,Tim McGraw,But in a box beneath my bed,2006
Taylor Swift,Tim McGraw,Is a letter that you never read,2006
Taylor Swift,Tim McGraw,From three summers back,2006
Taylor Swift,Tim McGraw,It's hard not to find it all a little bittersweet,2006
Taylor Swift,Tim McGraw,"And lookin' back on all of that, it's nice to believe",2006
Taylor Swift,Tim McGraw,When you think Tim McGraw,2006
Taylor Swift,Tim McGraw,I hope you think my favorite song,2006
Taylor Swift,Tim McGraw,The one we danced to all night long,2006
Taylor Swift,Tim McGraw,The moon like a spotlight on the lake,2006
Taylor Swift,Tim McGraw,When you think happiness,2006
Taylor Swift,Tim McGraw,I hope you think that little black dress,2006
Taylor Swift,Tim McGraw,Think of my head on your chest,2006
Taylor Swift,Tim McGraw,And my old faded blue jeans,2006
Taylor Swift,Tim McGraw,When you think Tim McGraw,2006
Taylor Swift,Tim McGraw,I hope you think of me,2006
Taylor Swift,Tim McGraw,And I'm back for the first time since then,2006
Taylor Swift,Tim McGraw,I'm standin' on your street,2006
Taylor Swift,Tim McGraw,And there's a letter left on your doorstep,2006
Taylor Swift,Tim McGraw,And the first thing that you'll read is:,2006
Taylor Swift,Tim McGraw,"""When you think Tim McGraw",2006
Taylor Swift,Tim McGraw,I hope you think my favorite song,2006
Taylor Swift,Tim McGraw,Someday you'll turn your radio on,2006
Taylor Swift,Tim McGraw,"I hope it takes you back to that place""",2006
Taylor Swift,Tim McGraw,When you think happiness,2006
Taylor Swift,Tim McGraw,I hope you think that little black dress,2006
Taylor Swift,Tim McGraw,Think of my head on your chest,2006
Taylor Swift,Tim McGraw,And my old faded blue jeans,2006
Taylor Swift,Tim McGraw,When you think Tim McGraw,2006
Taylor Swift,Tim McGraw,I hope you think of me,2006
Taylor Swift,Tim McGraw,"Oh, think of me",2006
Taylor Swift,Tim McGraw,Mmmm,2006
Taylor Swift,Tim McGraw,He said the way my blue eyes shine,2006
Taylor Swift,Tim McGraw,Put those Georgia stars to shame that night,2006
Taylor Swift,Tim McGraw,"I said, ""That's a lie""",2006
Taylor Swift,Picture To Burn,"State the obvious, I didn't get my perfect fantasy",2006
Taylor Swift,Picture To Burn,I realize you love yourself more than you could ever love me,2006
Taylor Swift,Picture To Burn,So go and tell your friends that I'm obsessive and crazy,2006
Taylor Swift,Picture To Burn,"That's fine, I'll tell mine that you're gay",2006
Taylor Swift,Picture To Burn,By the way,2006
Taylor Swift,Picture To Burn,I hate that stupid old pickup truck,2006
Taylor Swift,Picture To Burn,You never let me drive,2006
Taylor Swift,Picture To Burn,You're a redneck heartbreak,2006
Taylor Swift,Picture To Burn,Who's really bad at lying,2006
Taylor Swift,Picture To Burn,So watch me strike a match,2006
Taylor Swift,Picture To Burn,On all my wasted time,2006
Taylor Swift,Picture To Burn,As far as I'm concerned you're,2006
Taylor Swift,Picture To Burn,Just another picture to burn,2006
Taylor Swift,Picture To Burn,There's no time for tears,2006
Taylor Swift,Picture To Burn,I'm just sitting here planning my revenge,2006
Taylor Swift,Picture To Burn,There's nothing stopping me,2006
Taylor Swift,Picture To Burn,From going out with all of your best friends,2006
Taylor Swift,Picture To Burn,And if you come around saying sorry to me,2006
Taylor Swift,Picture To Burn,My daddy's gonna show you how sorry you'll be,2006
Taylor Swift,Picture To Burn,I hate that stupid old pickup truck,2006
Taylor Swift,Picture To Burn,You never let me drive,2006
Taylor Swift,Picture To Burn,You're a redneck heartbreak,2006
Taylor Swift,Picture To Burn,Who's really bad at lying,2006
Taylor Swift,Picture To Burn,So watch me strike a match,2006
Taylor Swift,Picture To Burn,On all my wasted time,2006
Taylor Swift,Picture To Burn,As far as I'm concerned you're,2006
Taylor Swift,Picture To Burn,Just another picture to burn,2006
Taylor Swift,Picture To Burn,And if you're missing me,2006
Taylor Swift,Picture To Burn,You'd better keep it to yourself,2006
Taylor Swift,Picture To Burn,'Cause coming back around here,2006
Taylor Swift,Picture To Burn,Would be bad for your health,2006
Taylor Swift,Picture To Burn,Cause I hate that stupid old pickup truck,2006
Taylor Swift,Picture To Burn,You never let me drive,2006
Taylor Swift,Picture To Burn,You're a redneck heartbreak,2006
Taylor Swift,Picture To Burn,Who's really bad at lying,2006
Taylor Swift,Picture To Burn,So watch me strike a match,2006
Taylor Swift,Picture To Burn,On all my wasted time,2006
Taylor Swift,Picture To Burn,In case you haven't heard,2006
Taylor Swift,Picture To Burn,I really really hate that,2006
Taylor Swift,Picture To Burn,I hate that stupid old pickup truck,2006
Taylor Swift,Picture To Burn,You never let me drive,2006
Taylor Swift,Picture To Burn,You're a redneck heartbreak,2006
Taylor Swift,Picture To Burn,Who's really bad at lying,2006
Taylor Swift,Picture To Burn,So watch me strike a match,2006
Taylor Swift,Picture To Burn,On all my wasted time,2006
Taylor Swift,Picture To Burn,As far as I'm concerned you're,2006
Taylor Swift,Picture To Burn,Just another picture to burn,2006
Taylor Swift,Picture To Burn,"Burn, burn, burn, baby, burn",2006
Taylor Swift,Picture To Burn,You're just another picture to burn,2006
Taylor Swift,Picture To Burn,"Baby, burn",2006
Taylor Swift,Teardrops On My Guitar,Drew looks at me,2006
Taylor Swift,Teardrops On My Guitar,I fake a smile so he won't see,2006
Taylor Swift,Teardrops On My Guitar,That I want and I'm needing,2006
Taylor Swift,Teardrops On My Guitar,Everything that we should be,2006
Taylor Swift,Teardrops On My Guitar,"I'll bet she's beautiful, that girl he talks about",2006
Taylor Swift,Teardrops On My Guitar,And she's got everything that I have to live without,2006
Taylor Swift,Teardrops On My Guitar,Drew talks to me,2006
Taylor Swift,Teardrops On My Guitar,I laugh 'cause it's so damn funny,2006
Taylor Swift,Teardrops On My Guitar,That I can't even see,2006
Taylor Swift,Teardrops On My Guitar,Anyone when he's with me,2006
Taylor Swift,Teardrops On My Guitar,"He says he's so in love, he's finally got it right",2006
Taylor Swift,Teardrops On My Guitar,I wonder if he knows he's all I think about at night,2006
Taylor Swift,Teardrops On My Guitar,He's the reason for the teardrops on my guitar,2006
